,Impurity Measure,Depth,Training Error (%),Test Error (%)
0,entropy,1,30.130130130130127,29.711141678129298
1,entropy,2,30.130130130130127,29.711141678129298
2,entropy,3,22.22222222222222,22.283356258596974
3,entropy,4,13.013013013013014,14.855570839064649
4,entropy,5,3.303303303303303,9.903713892709765
5,entropy,6,0.0,8.390646492434662
6,gini,1,30.130130130130127,29.711141678129298
7,gini,2,30.130130130130127,29.711141678129298
8,gini,3,22.22222222222222,22.283356258596974
9,gini,4,13.413413413413414,14.580467675378268
10,gini,5,3.6036036036036037,9.766162310866575
11,gini,6,0.0,8.390646492434662
12,majority_error,1,30.130130130130127,29.711141678129298
13,majority_error,2,30.130130130130127,29.711141678129298
14,majority_error,3,27.427427427427425,28.61072902338377
15,majority_error,4,22.02202202202202,22.833562585969737
16,majority_error,5,17.81781781781782,21.04539202200825
17,majority_error,6,16.416416416416414,20.63273727647868
