Depth	Width	Activation	Train_Error	Test_Error
3	5	tanh	0.651376128	0.629999995
3	5	relu	0.44610092	0.442000002
3	25	tanh	0.434633017	0.439999998
3	25	relu	0.31077981	0.30399999
3	50	tanh	0.370412856	0.35800001
3	50	relu	0.474770635	0.467999995
3	100	tanh	0.193807334	0.187999994
3	100	relu	0.361238539	0.370000005
5	5	tanh	0.376146793	0.377999991
5	5	relu	0.44610092	0.442000002
5	25	tanh	0.306192666	0.324000001
5	25	relu	0.425458729	0.416000009
5	50	tanh	0.354357809	0.370000005
5	50	relu	0.087155961	0.109999999
5	100	tanh	0.064220183	0.083999999
5	100	relu	0.028669724	0.026000001
7	5	tanh	0.44610092	0.442000002
7	5	relu	0.44610092	0.442000002
7	25	tanh	0.308486253	0.291999996
7	25	relu	0.610091746	0.589999974
7	50	tanh	0.114678897	0.114
7	50	relu	0.190366969	0.197999999
7	100	tanh	0.017201835	0.016000001
7	100	relu	0.049311928	0.039999999
