Learned weight vectors and counts:
w: [0. 0. 0. 0.], count: 1
w: [-0.13562  -0.32136  -0.43465  -0.078662], count: 5
w: [-0.27939  -0.46456  -0.22321  -0.036595], count: 1
w: [-0.357385 -0.14134  -0.55141  -0.346635], count: 6
w: [-7.14995e-01 -1.11887e+00 -1.53460e-01 -2.55000e-04], count: 1
w: [-1.231605  -0.31454   -0.1490335 -0.450085 ], count: 7
w: [-1.113565  -1.46547   -0.1645985  0.231855 ], count: 7
w: [-1.499085  -1.11328   -0.2030135 -0.154225 ], count: 2
w: [-1.694805  -0.60175   -1.0642835 -0.011255 ], count: 18
w: [-2.096535  -1.43298    0.1811865 -0.155005 ], count: 6
w: [-2.022468  -1.25999   -0.1384435 -0.169575 ], count: 10
w: [-1.743328  -1.43733   -0.8160035 -0.12966  ], count: 1
w: [-1.948618  -1.05348   -0.8955475 -0.25104  ], count: 39
w: [-1.827818  -0.64604   -1.3718975 -0.51233  ], count: 4
w: [-1.890502  -1.27614   -0.8934675 -0.40173  ], count: 4
w: [-1.830452  -1.08287   -1.2223475 -0.434145 ], count: 6
w: [-1.774513  -1.11391   -1.2040405 -0.389492 ], count: 6
w: [-1.753082  -1.183439  -1.1163295 -0.359839 ], count: 3
w: [-1.740956  -1.161092  -1.1636565 -0.262815 ], count: 14
w: [-1.810835  -1.498802  -0.7515465 -0.112385 ], count: 2
w: [-1.922715  -1.165232  -0.8860965 -0.308115 ], count: 19
w: [-1.92230955 -1.102327   -0.9502175  -0.232298  ], count: 27
w: [-1.77729955 -0.741657   -1.3557875  -0.391958  ], count: 3
w: [-1.69860955 -1.698287   -0.9771175   0.358382  ], count: 2
w: [-1.75055955 -1.371957   -1.2860675   0.456872  ], count: 3
w: [-1.59245955 -1.285048   -1.5174475   0.539284  ], count: 3
w: [-2.06010955 -1.851408   -0.4205475   0.505835  ], count: 8
w: [-2.33375955 -1.348158   -1.0866275   0.563724  ], count: 8
w: [-2.41055355 -1.002178   -1.4306775   0.220964  ], count: 17
w: [-2.38615955 -0.854848   -1.5725975   0.162429  ], count: 5
w: [-2.23538955 -0.658888   -1.8784375   0.150186  ], count: 5
w: [-2.29074455 -1.451218   -1.2068775   0.22458   ], count: 7
w: [-2.38893755 -1.171658   -1.3302875   0.0679    ], count: 11
w: [-2.31517755 -0.686408   -1.8101475  -0.49869   ], count: 12
w: [-2.61189755 -2.015098   -0.4628775  -0.7614    ], count: 4
w: [-2.62213155 -1.833208   -0.6845675  -0.818125  ], count: 8
w: [-2.56819555 -1.443768   -1.1662275  -1.252305  ], count: 1
w: [-2.49770555 -1.426594   -1.3448175  -1.216186  ], count: 27
w: [-2.25853555 -0.970944   -1.8436975  -1.506056  ], count: 4
w: [-2.70628555 -2.273974   -0.1353575  -1.809506  ], count: 9
w: [-2.93057555 -1.859704   -0.6586875  -1.769333  ], count: 49
w: [-2.82863555 -1.749414   -0.8886875  -1.709938  ], count: 7
w: [-2.70665555 -1.539594   -1.2082275  -1.697095  ], count: 5
w: [-2.65584255 -1.491795   -1.4062675  -1.639381  ], count: 13
w: [-2.68876255 -1.046275   -1.8634475  -1.540501  ], count: 12
w: [-2.52972255 -0.825065   -2.1752775  -1.552226  ], count: 2
w: [-2.26493255 -1.838805   -2.0421775  -1.005156  ], count: 37
w: [-2.62478255 -3.204735   -0.2816575  -1.254426  ], count: 5
w: [-2.65770655 -2.759215   -0.7388375  -1.155546  ], count: 1
w: [-2.91273655 -2.264035   -1.3761275  -1.11395   ], count: 9
w: [-2.69330655 -1.809005   -1.8737275  -1.38649   ], count: 36
w: [-2.74525355 -1.482675   -2.1826775  -1.287998  ], count: 2
w: [-2.92501355 -2.159535   -1.5151475  -1.198086  ], count: 45
w: [-2.81949355 -2.040965   -1.7792575  -1.187053  ], count: 1
w: [-2.61772355 -1.861145   -2.0750675  -1.166063  ], count: 9
w: [-2.48254355 -1.755195   -2.3094375  -1.126065  ], count: 4
w: [-2.62141355 -2.242925   -1.6616975  -1.091886  ], count: 34
w: [-2.66337855 -1.951985   -1.8402875  -1.312576  ], count: 20
w: [-2.56220855 -1.861765   -2.0753475  -1.269862  ], count: 9
w: [-2.78845855 -1.8716985  -1.7940775  -1.2212    ], count: 3
w: [-2.61514855 -1.4762585  -2.2681975  -1.47137   ], count: 1
